ID,IMAGE,MASK,ClassLABEL,ImageTYPE
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_0_mask.tif,0,1
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_1,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_1_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_1_mask.tif,0,1
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_2,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_2_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=1_2_mask.tif,0,1
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_0_mask.tif,0,1
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_1,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_1_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_1_mask.tif,0,1
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_2,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_2_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=1_2_mask.tif,0,1
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_0_mask.tif,0,1
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_1,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_1_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_1_mask.tif,0,1
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_2,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_2_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=1_2_mask.tif,0,1
Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=1_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=1_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=1_0_mask.tif,0,1
