ID,IMAGE,MASK,ClassLABEL,ImageTYPE
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_0_mask.tif,0,2
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_1,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_1_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_1_mask.tif,0,2
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_2,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_2_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=2_2_mask.tif,0,2
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_0_mask.tif,0,2
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_1,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_1_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_1_mask.tif,0,2
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_2,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_2_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=2_2_mask.tif,0,2
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_0_mask.tif,0,2
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_1,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_1_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_1_mask.tif,0,2
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_2,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_2_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=2_2_mask.tif,0,2
Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=2_0,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=2_0_image.tif,/home/cpu/Downloads/NeuronImages/9-8-20 SCZ + HC Soma Quantification/bin/Notebooks/../../data/Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=2_0_mask.tif,0,2
