ID,IMAGE,MASK,LABEL,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_0,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_0_image.tif,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},f35d4a83dcb1b23b4cacb7009242107b84987202,2D,"(1.0, 1.0)","(78, 98)",148.363422291994,13,560,e684c6b09402c6f5e96375ad7dda76dac4fc3e8a,"(1.0, 1.0)","(78, 98)","(5, 5, 68, 88)",4405,1,"(36.283314415437005, 46.0422247446084)","(36.283314415437005, 46.0422247446084)",120,247,156865184,7.62478744563086,65,5.25968272150884,560,39.8242809932475,181.530533484677,178,48,512,27.2454061156831,188.708005829761,0.711142843961308,156865184,0.006008392588651,2657.37687701392,19476.2394691455,135.536224411222,328857822.896701,481313.186194333,7463.53956095825,3039.070216496,0.421199106188132,43.3159865797198,6.79947288949971,1162.1980040419,0.000156428897222,12.7584605922427,-0.32451445318827,0.996422296104565,0.024300613255825,0.98888163192177,0.063096808412823,0.925396256929059,0.025614026766652,0.00060913387937,8.31938240991009,2625.65244436357,26.2088987718404,0.005995059917131,2667.77105620556,20777.3106265799,1.02293171292938,21187.156926736,0.000398298729115,0.000396453865708,7.6729560708922,4306.24639099321,0.985016304941795,0.992451759364359,0.007662138698503,0.994330592869365,20675.2159494244,0.000396003647278,25.4612865497076,0.005955856502856,2698.40268204234,20839.625497076,1.0940350877193,22519.0987134503,0.000411187416936,0.000403611637714,4033.86222222222,0.943593502274204,0.978050682261209,20440.4851981806,0.000401865339291,7.79382810716438,0.970488081725312,0.032291645292569,7.88481434415048,3924.97366628831,0.891026938998481,0.062187819279763,26.4669693530079,2657.37687701392,20755.8413166856,1.18660612939841,24081.6719636776,0.000409013529762,0.000394065045096,0.956375331063186,19967.2160423761,0.000390582768112
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_1,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_1_image.tif,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_1_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},724cf4d42d0930ae9aa1fe5b334eda378e287d2f,2D,"(1.0, 1.0)","(87, 134)",154.252187339166,10,521,f2b174ffde01e44643c8c4897ca4a15d7aad13c6,"(1.0, 1.0)","(87, 134)","(5, 5, 77, 124)",6262,1,"(40.419195145320984, 75.64851485148515)","(40.419195145320984, 75.64851485148515)",124,269,256763427,7.83005047732227,73,3.60887906219524,521,44.992442896735,194.127914404344,190,27,494,30.7926151756745,202.493016546842,0.388339490557473,256763427,0.005233311989878,3317.77459925936,30124.0581771191,168.757550543208,356519131.628783,241981.767132971,9859.53961723197,3279.92870514234,0.500671186259926,44.9804980906541,6.86258822768799,1255.95742197962,0.000113775639054,13.22828464529,-0.308590016626882,0.995986074018286,0.022980625555909,0.98717383236211,0.060639329696096,0.920409315260031,0.024187205470902,0.000468068903067,8.57595904619857,3284.86708059358,32.4774459768065,0.005224813875187,3325.11475456684,31609.6766663701,1.02244477320019,32241.448140658,0.000294940505895,0.00029365101149,7.87674546851009,6126.15886856366,0.985545071647444,0.992654104120089,0.007586811871365,0.994522883865075,31454.6229642538,0.000293334904468,31.5985521553142,0.005198840433582,3347.77963227521,31686.6049687397,1.09345179335308,34335.1966107272,0.000304343799989,0.000299011202482,5733.96972688384,0.943397454242159,0.97801382947607,31070.2041115956,0.000297732218443,7.9977482043822,0.970616416480358,0.031989099477983,8.09117306608973,5580.83136378154,0.891221872210402,0.057549294559173,32.7709996806132,3317.77459925936,31584.7702012137,1.17853720855957,36636.5153305653,0.000302151435329,0.000291916566244,0.956607757549948,30364.2548706484,0.000289405939341
Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_2,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_2_image.tif,Set 1-HC 412 DMSO Stack 3!SUM_20 STACK3  C=0_2_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},8c29c8a6da908040a8564a3de83dc1dde415633a,2D,"(1.0, 1.0)","(116, 82)",143.83736333053,11,507,c42a5c13a929db774717c40802790acdaa8df6b4,"(1.0, 1.0)","(116, 82)","(5, 5, 106, 72)",5121,1,"(51.476859988283536, 40.46260495996876)","(51.476859988283536, 40.46260495996876)",100,228,146106951,7.62471107858155,67,4.17195076726701,507,40.264632640729,160.906658855692,156,27,480,27.7772973952129,168.911045872352,0.689621666840013,146106951,0.005942617098171,2639.98855358973,19619.6140725683,135.382016393871,253621237.155676,444534.15846403,7867.13562069872,2701.90439385523,0.488709315346502,40.7960945403318,6.71985439294848,1036.71512116844,0.000140018710343,12.929725243747,-0.30424286907565,0.995154951531375,0.025257993474206,0.988761790590791,0.065573441429867,0.92511805562205,0.026361402707299,0.000598217113923,8.38065353402688,2642.26000363849,30.1277320853288,0.005930072165287,2648.4132371914,20865.0108273208,1.02401441977894,21288.5139962436,0.000302126233316,0.000299784062728,7.67465155025774,5000.63848507651,0.984280018235838,0.992091388400703,0.008006467495422,0.994051043447509,20759.548668771,0.00029920574011,29.2334206813142,0.005892646781156,2674.20501804825,20943.4245111873,1.09957669824632,22702.8512396694,0.000314305351465,0.000304647972857,4664.02519653296,0.940138116616198,0.976673609711304,20533.5494635938,0.000302345110396,7.80407395708819,0.968756102323765,0.034033410612859,7.89968245147587,4531.96426479203,0.884976423509477,0.063561975929432,30.4321421597344,2639.98855358973,20839.7951571959,1.19410271431361,24281.2542472173,0.00031696916441,0.000298183331487,0.953861008049643,20027.3261949706,0.000293654637265
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_0,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_0_image.tif,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},6e6c3861af79a23b49695f5a6cee80088a250c7d,2D,"(1.0, 1.0)","(99, 171)",143.485498257428,0,479,0820c00fa973ea3ff89e540ff46d2b254295dff4,"(1.0, 1.0)","(99, 171)","(5, 5, 89, 161)",7116,1,"(54.429454749859474, 91.02079820123664)","(54.429454749859474, 91.02079820123664)",112,248,237821709,7.69005992210418,69,3.68437727637847,428,42.108768260396,174.788785834739,168,44,384,29.1664284300199,182.81329573125,0.714359498593105,237821709,0.00570660579789,2869.58144253929,18707.8359737347,131.403081553681,272942888.456094,608697.496274503,8575.63453210437,2811.39204123459,0.506216591140756,41.7008833439125,6.7589996879761,1072.00709442865,0.000110356299959,13.2996979562636,-0.269002281793356,0.991954662974719,0.025570325614341,0.982100090266828,0.065452678148725,0.907238713013118,0.026203343684783,0.000412336508266,8.43838025485509,2846.75664333475,40.2045182690239,0.005697112392425,2876.56697266148,20262.7209164812,1.02529675422108,20699.332036415,0.000439079445289,0.000436560752658,7.74514286648578,6941.45921258919,0.983625936829446,0.991708825182687,0.008503270072983,0.993793975654149,20155.5289814878,0.000435939748599,39.000871966284,0.005667907566674,2897.82132197278,20340.2421159715,1.10565324807441,22150.4076442378,0.000455953336936,0.000445166254537,6445.14707164656,0.936658490284343,0.975287224079187,19911.8393089263,0.000442739823776,7.88386135720532,0.966975829117482,0.036182862519201,7.99468042146461,6253.96065205171,0.878859001131494,0.065302490709644,40.6082068577853,2869.58144253929,20237.8655143339,1.20236087689713,23728.0175660483,0.000454061495588,0.000433768226201,0.951283492598838,19395.6682046718,0.000428937945565
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_1,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_1_image.tif,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_1_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},21d9c206d02bf8a21dbf42d83671131e4ba2bfe3,2D,"(1.0, 1.0)","(92, 170)",113.855498721228,0,456,96fee085748560686b6c674088c7175c3dadf45f,"(1.0, 1.0)","(92, 170)","(5, 5, 82, 160)",6257,1,"(47.48809333546428, 76.45916573437749)","(47.48809333546428, 76.45916573437749)",98,219,165807975,7.54552099990382,63,4.1929667061842,456,38.0514038181664,155.401470353204,150,27,429,26.3980193242921,162.786966468369,0.713454164724611,165807975,0.006281294820346,2349.97946403592,17824.8325634791,129.365665119609,192432755.015738,396605.155765014,6852.4176609984,2495.0352918833,0.466133809098503,39.2352165404221,6.6668658253568,954.933076292331,0.000126868807342,13.1030458638371,-0.26265811306693,0.990440355190014,0.025882358018075,0.98709018549816,0.066824227607171,0.920107595512404,0.027256584281107,0.000511601630716,8.29211430614333,2336.86323822044,38.9309906105387,0.006272866305571,2356.32218680204,19111.0942527863,1.02469545931066,19531.5044022397,0.000266538876169,0.000264257902218,7.59852909371783,6106.56488944003,0.983936372730275,0.991889084225667,0.008271565945171,0.993915697572784,19006.5796879038,0.000263701334556,37.8446425623246,0.006248083632545,2374.92573046292,19160.466072313,1.10236090473832,20900.396731055,0.000277921875167,0.000268489918689,5688.3257388146,0.93913253076021,0.976244198631519,18750.8535028342,0.000266288631326,7.73453425656219,0.968035799904107,0.035231314291241,7.84577979360749,5523.70481061212,0.882804029185251,0.065791233109312,39.3020616909062,2349.97946403592,19094.7199936072,1.19977625059933,22497.6942624261,0.000281159873239,0.00026286032797,0.952897199580914,18285.9912364818,0.000258506389993
Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_2,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_2_image.tif,Set 1-HC 417 DMSO Stack 3!SUM_11 STACK3  C=0_2_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},75412a20a685b56ed717a009e24670dbd05c2329,2D,"(1.0, 1.0)","(111, 119)",92.7650844121432,7,278,0ed18bc57fb95e3636dc42e77f0ef342ad568407,"(1.0, 1.0)","(111, 119)","(5, 5, 101, 109)",5471,1,"(61.5655273259002, 57.81301407420947)","(61.5655273259002, 57.81301407420947)",63,155,69283370,7.15317568292996,49,3.41260539811489,278,28.8588459360051,106.484737707914,103,9,269,20.2718673636846,112.533323320752,0.56218708986266,69283370,0.008214496395327,1324.74949288953,10223.8076985969,98.7027702508737,43911797.3898449,112612.401792782,3610.5261965396,1684.25241520259,0.363801021981545,32.4838736391879,6.39322970741952,628.911596467722,0.000166811671665,12.7450106091302,-0.21786803585893,0.977580333601469,0.031120429873844,0.97842325147225,0.077007940002165,0.898332200216812,0.031896528537729,0.000700310527563,7.86808803209915,1323.69465293555,44.4364310830974,0.008205399909928,1326.61943887374,11034.2270495295,1.03130633484654,11348.6638738903,0.000369526381639,0.00036408540754,7.21829994678756,5308.56379952534,0.980249886923444,0.989855602266496,0.010697827970476,0.992481506935319,10959.0242282509,0.00036276000544,42.9493429822891,0.008179269278669,1331.94814586921,11065.343172729,1.13483146067416,12403.8152732813,0.000393489083629,0.000369988140805,4870.30717958484,0.927500891179745,0.971271345140608,10772.9545708225,0.000364897331053,7.37377844890477,0.959787972948273,0.049282557237785,7.51326408997579,4696.71815024676,0.858475260509369,0.084439243145786,44.9415097788339,1324.74949288953,11023.9930542862,1.25333577042588,13549.9886675196,0.000406231868073,0.000362165747921,0.942149515627856,10439.6726070798,0.00035197313651
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_0,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_0_image.tif,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},bed7cab2593f4ba538e89f80e749f1e158d33698,2D,"(1.0, 1.0)","(135, 121)",172.911049892868,5,690,c0bc3cea02dd2eccf7fb3cc058322b3caa302a1b,"(1.0, 1.0)","(135, 121)","(5, 5, 125, 111)",7540,1,"(73.49098143236074, 71.93501326259947)","(73.49098143236074, 71.93501326259947)",169,360.1,551410605,8.20765280749387,99,4.10318326720542,690,60.5729721239156,258.9324933687,250,59,631,41.1996504661905,270.428141977633,0.766913747260438,551410605,0.004045514989904,6085.34385134279,44313.6216149146,201.805346716439,1546088065.56641,2092607.17281611,19351.5280804677,4998.83842610724,0.589409502046696,55.3016362260749,7.15910891994987,1937.44408293195,8.78083885354671E-05,13.5785562982247,-0.345591569180524,0.998279494617063,0.017375955835079,0.987998830807197,0.050766054346763,0.923072286280314,0.018703545165434,0.000355343654844,9.00324212450369,6087.5916266437,30.3181039714491,0.004041199939304,6095.59585709231,46488.3998930573,1.01516439715175,47103.0513053639,0.000186575014683,0.000185989894857,8.23990171201496,7427.63198306238,0.990052530816861,0.994993368700265,0.005073213694467,0.996245967402452,46335.1774293292,0.00018584673473,29.762484774665,0.004027944887626,6126.94027514647,46577.7363648667,1.06211936662607,49095.9925565029,0.000190650406583,0.000188252065601,7098.81107051022,0.960726900867535,0.984921279379257,45962.3623291379,0.000187677464512,8.32746692047274,0.979973474801061,0.020830179561375,8.39704340896195,6965.47824933687,0.923803481344412,0.039244559519873,30.5031830238727,6085.34385134279,46459.2107427056,1.1209549071618,51369.8287798409,0.00018990732766,0.000185250777428,0.970203359858532,45245.4620689655,0.00018411112368
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_1,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_1_image.tif,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_1_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},41b31caab40d44f585e1015febb011d1fbb055e4,2D,"(1.0, 1.0)","(217, 114)",186.915676287493,3,1213,b4fa3ae6cc0d411c7a4a396e5ea748d8a3b5fafc,"(1.0, 1.0)","(217, 114)","(5, 5, 207, 104)",12066,1,"(85.59298856290403, 60.869302171390686)","(85.59298856290403, 60.869302171390686)",142,404,1062565631,8.68525291230588,138,10.3869483084652,1213,87.0621371258564,271.02328857948,256,37,1176,56.9968710345344,296.753754093423,1.85383799585286,1062565631,0.002899050525717,14609.1676161039,67707.4433515305,236.762833559717,30286742378.2955,23281665.0451401,52494.9394229346,5892.64723685523,0.798153714492987,58.2705629775068,7.25380414346305,2490.4530298057,5.5112089753775E-05,14.2513142028066,-0.358738114852971,0.999014707488112,0.017492789928964,0.995833150897247,0.050129443472997,0.954288722266586,0.018850902652682,0.000221133313447,9.54249498095102,14596.8966649474,34.7736921101303,0.002896902670022,14634.2959775214,69903.7360750088,1.01555823865473,70814.5361716584,0.000141441153299,0.000140790895433,8.71851851391702,11879.9004717387,0.989682034117093,0.994840875186474,0.005158982941454,0.996110440336317,69676.0360508464,0.000140628330966,34.1545100693857,0.002890041468048,14710.8962713698,70087.1250634625,1.06397021492638,73809.3395667626,0.000145016307791,0.000142344064145,11343.67134879,0.959863881265018,0.984571557511141,69184.9948407326,0.000141694166234,8.8082854944721,0.979446378252942,0.021559970834236,8.88300044119285,11125.1586275485,0.922025412526809,0.04089557821506,34.9799436432952,14609.1676161039,69845.1137908172,1.12514503563733,77181.6659207691,0.00014548997305,0.000140280144068,0.969450430042175,68059.9802152973,0.000138997079107
Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_2,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_2_image.tif,Set 1-HC 419 DMSO Stack 4!SUM_16 STACK4  C=0_2_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},650e3b52498230e9f6b8192945d9b29b8a6e1506,2D,"(1.0, 1.0)","(87, 110)",167.094775339603,9,767,f9f4994f668613080f54d33bbc06946cece1df25,"(1.0, 1.0)","(87, 110)","(5, 5, 77, 100)",5867,1,"(45.46139423896369, 48.44673598091018)","(45.46139423896369, 48.44673598091018)",121,282,253738091,7.95946099853595,84,5.90970872793136,767,51.7509907779365,196.710925515596,187,32,735,35.1979277124784,207.962385236097,1.07222472493306,253738091,0.004821640216434,4553.16545588451,30502.5799244787,166.537049750262,1263426201.85561,1948064.10707369,14637.7551391033,3566.01107966139,0.608186885202602,46.4341747649047,6.90783635472593,1408.16002730547,0.0001159444033,13.1868391062929,-0.342743643886318,0.997859009522057,0.022569992204074,0.993580656176256,0.059557564604906,0.942695131922337,0.024036885792007,0.000456045917944,8.74963205402877,4550.94155469118,28.0343326284577,0.004812139111996,4564.74943774891,32042.4760393325,1.02150230449024,32641.4456083506,0.0002454992137,0.00024431403732,8.00349430526081,5745.31557289269,0.986191324896123,0.992969149480143,0.007287929905641,0.994767452812948,31896.3178047493,0.000244024377727,27.2777972641179,0.004783899906019,4600.4606312024,32132.5934759733,1.08891616976499,34624.771659067,0.000253287919008,0.000248417566734,5392.54542265872,0.945728765811771,0.978940137963288,31548.9959078686,0.000247242200298,8.11805547091503,0.971876597920573,0.030204377327775,8.2033198183704,5254.13482188512,0.895540279850881,0.055128439513819,28.288563149821,4553.16545588452,32013.2762911198,1.17078575080961,36788.4479290949,0.000252377294099,0.000242984392891,0.958439861371513,30857.8209760809,0.000240677201805
Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=0_0,Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=0_0_image.tif,Set 1-HC 419 DMSO Stack 1!SUM_16 STACK1  C=0_0_mask.tif,0,v3.0,1.18.5,1.2.4,1.1.1,3.7.7,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 1, 'weightingNorm': None}",{'Original': {}},e212f29351bd1d9c15ea943a78bb37e310d24b07,2D,"(1.0, 1.0)","(143, 84)",252.191808191808,41,985,16e77820ebcf767ffbe07337b456829d9e630ae9,"(1.0, 1.0)","(143, 84)","(5, 5, 133, 74)",5793,1,"(68.44829967201795, 42.98584498532712)","(68.44829967201795, 42.98584498532712)",179,386,480099381,8.27840323963541,106,3.62501648756573,796,64.4320892531207,276.14275850164,267,56,740,45.0251598153107,287.881534377109,0.567028720668738,480099381,0.003789432706706,6620.95476242347,53288.039541309,221.887750435095,1557928406.15751,1657498.01302598,21259.1994654854,5044.07902642537,0.616461515603423,55.7779488925755,7.15811422972694,1930.79172311805,0.000106662638875,13.2729648647206,-0.395408399706168,0.999278475954446,0.01809980414527,0.991092260879277,0.05095642812783,0.932669018915055,0.018360284187498,0.000396925497642,9.07670817867135,6575.81962297767,21.7902195446353,0.00378400927652,6630.33417954762,55580.3322935152,1.01806050128347,56415.3918695182,0.000230486661712,0.000229816226917,8.31332395238628,5690.4047984168,0.988174739045692,0.994044536509581,0.006042114362235,0.995533133500845,55373.1484067725,0.000229650091275,21.3108203677511,0.003767825383266,6657.85562261678,55749.3247878359,1.07337340876945,59141.0148514852,0.000236031495406,0.000233304584158,5392.35042432815,0.953385860029729,0.982049544240138,54917.8719010294,0.000232632698945,8.40680100473639,0.976350768168479,0.024342570206202,8.47702204870027,5274.17244950803,0.910438883049892,0.046754762059927,21.9521836699465,6620.95476242347,55525.0744001381,1.14431210081132,62207.2570343518,0.000234010161229,0.000228668818027,0.964689184264534,53890.2018719911,0.000227350602524
